roi,i2c2_m,i2c2_r,i2c2_diff,i2c2_p,i2c2_m_better,discr_m,discr_r,discr_diff,discr_p,discr_m_better,finger_m,finger_r,finger_diff,finger_p,finger_m_better
358,0.258917842,0.355910062,-0.09699222,0.932280315,0,0.714531063,0.692236303,0.02229476,0.706980769,0,0.018348624,0.027522936,-0.009174312,0.880513953,0
359,0.330696514,0.389324288,-0.058627774,0.932280315,0,0.882947175,0.897691556,-0.014744381,0.880513953,0,0.339449541,0.495412844,-0.155963303,0.137108824,0
360,0.357512867,0.359950972,-0.002438106,1,0,0.865292712,0.855812521,0.009480191,0.95294041,0,0.311926606,0.366972477,-0.055045872,0.7210475,0
361,0.387885679,0.291393822,0.096491856,0.839456716,0,0.579389575,0.554424817,0.024964758,0.448762832,0,0,0,0,1,0
362,0.253330894,0.313664214,-0.06033332,0.941922264,0,0.561155914,0.543546126,0.017609788,0.57970197,0,0,0.009174312,-0.009174312,0,-1
363,0.240825167,0.395127889,-0.154302722,0.750153516,0,0.591547192,0.580084098,0.011463094,0.778343382,0,0,0.009174312,-0.009174312,0.644213272,0
364,0.25114615,0.366340504,-0.115194354,0.866787037,0,0.597574245,0.59217464,0.005399605,0.95294041,0,0.009174312,0,0.009174312,0.300920301,0
365,0.353921358,0.353297842,0.000623516,1,0,0.693159616,0.679493714,0.013665902,0.865324299,0,0.036697248,0.027522936,0.009174312,0.941922264,0
366,0.353095048,0.370299446,-0.017204398,0.989002522,0,0.70198352,0.696430088,0.005553432,0.985919178,0,0.064220183,0.027522936,0.036697248,0.464686957,0
367,0.888732941,0.887506889,0.001226053,1,0,0.506699095,0.50849121,-0.001792115,1,0,0,0,0,1,0
368,0.401527725,0.351183732,0.050343993,0.960550472,0,0.72847647,0.694168366,0.034308104,0.32215,0,0.036697248,0.082568807,-0.04587156,0.500903014,0
369,0.273029221,0.31815572,-0.045126499,0.988031355,0,0.562243984,0.557562436,0.004681547,0.941922264,0,0,0,0,1,0
370,0.31587227,0.303794215,0.012078055,1,0,0.566916283,0.563094631,0.003821651,0.960550472,0,0,0,0,1,0
371,0.291289915,0.396717073,-0.105427158,0.880513953,0,0.65074966,0.671657322,-0.020907662,0.495744598,0,0,0.027522936,-0.027522936,0.216262041,0
372,0.306213136,0.407958404,-0.101745268,0.880513953,0,0.679190135,0.689676139,-0.010486004,0.878731222,0,0.009174312,0.036697248,-0.027522936,0.216123967,0
373,0.238973785,0.303253973,-0.064280188,0.941922264,0,0.522687329,0.525740314,-0.003052986,0.989002522,0,0,0.009174312,-0.009174312,0,-1
374,0.234361359,0.313610144,-0.079248784,0.93234,0,0.525409626,0.533580816,-0.00817119,0.82662973,0,0,0,0,1,0
375,0.238034793,0.332055448,-0.094020654,0.846794286,0,0.60443335,0.590787462,0.013645889,0.799238342,0,0.009174312,0,0.009174312,0.655627416,0
376,0.252996321,0.303339458,-0.050343136,0.960550472,0,0.611537805,0.605596091,0.005941714,0.960550472,0,0,0.009174312,-0.009174312,0.501398361,0
377,0.843578856,0.857382391,-0.013803535,0.989002522,0,0.523617512,0.518710531,0.004906981,0.8953875,0,0,0,0,1,0
378,0.835620667,0.866748162,-0.031127495,0.923522449,0,0.533730159,0.523233487,0.010496672,0.77426306,0,0,0,0,1,0
379,0.87013243,0.85609382,0.01403861,0.989002522,0,0.505664363,0.502208141,0.003456221,0.880513953,0,0,,,1,0
